CLARKE;2003;BO;35;39;CBO12;Verif CDT 
FOURCAS DUPRE;1995;BO;25;3;UNITE;Verif CDT 
FOURCAS HOSTEN;1989;BO;45;1;UNITE;Verif CDT 
FOURCAS HOSTEN;1994;BO;20;1;UNITE;Verif CDT 
MAYNE LALANDE;1998;BO;20;8;UNITE;Verif CDT 
ROC DE LUSSAC;1988;BO;15;2;UNITE;Verif CDT 
BELLEGARDE;1997;BO;20;6;UNITE;Verif CDT 
BELLEVUE DE TAYAC;2015;BO;30;5;UNITE;Verif CDT 
BOYD CANTENAC;1969;BO;150;1;UNITE;Verif CDT 
BOYD CANTENAC;1993;BO;30;3;UNITE;Verif CDT 
BOYD CANTENAC;2009;BO;55;4;UNITE;Verif CDT 
BRANE CANTENAC;1964;BO;180;1;UNITE;Verif CDT 
BRANE CANTENAC;1964;BO;162;1;UNITE;Verif CDT 
BRANE CANTENAC;1966;BO;166,5;1;UNITE;Verif CDT 
BRANE CANTENAC;1974;BO;90;2;UNITE;Verif CDT 
BRANE CANTENAC;1975;BO;65;1;UNITE;Verif CDT 
BRANE CANTENAC;1975;BO;90;8;UNITE;Verif CDT 
BRANE CANTENAC;1976;BO;120;1;UNITE;Verif CDT 
BRANE CANTENAC;1989;BO;115;4;UNITE;Verif CDT 
BRANE CANTENAC;1999;BO;65;3;UNITE;Verif CDT 
BRANE CANTENAC;2006;BO;65;12;UNITE;Verif CDT 
BRANE CANTENAC;2006;BO;65;3;UNITE;Verif CDT 
BRANE CANTENAC;2008;BO;65;2;UNITE;Verif CDT 
BRANE CANTENAC;2008;BO;65;3;UNITE;Verif CDT 
BRANE CANTENAC;2009;BO;75;1;UNITE;Verif CDT 
BRANE CANTENAC;2010;BO;75;1;UNITE;Verif CDT 
BRANE CANTENAC;2012;MG;100;1;UNITE;Verif CDT 
BRANE CANTENAC;2014;MG;100;1;UNITE;Verif CDT 
BRANE CANTENAC;2015;MG;130;1;UNITE;Verif CDT 
BRANE CANTENAC;2016;MG;130;1;UNITE;Verif CDT 
BRANE CANTENAC;2017;BO;55;3;UNITE;Verif CDT 
BRANE CANTENAC;2017;MG;110;1;UNITE;Verif CDT 
CANTENAC BROWN;1986;BO;60;2;UNITE;Verif CDT 
CANTENAC BROWN;1994;BO;45;12;UNITE;Verif CDT 
CANTENAC BROWN;1995;BO;47,5;3;UNITE;Verif CDT 
CANTENAC BROWN;1996;BO;60;2;UNITE;Verif CDT 
CANTENAC BROWN;1997;BO;55;5;UNITE;Verif CDT 
CANTENAC BROWN;1999;BO;60;1;UNITE;Verif CDT 
CANTENAC BROWN;1999;BO;60;5;UNITE;Verif CDT 
CANTENAC BROWN;2005;BO;80;12;UNITE;Verif CDT 
CHATEAU MARGAUX;1973;BO;300;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1982;BO;810;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1987;BO;400;5;UNITE;Verif CDT 
CHATEAU MARGAUX;1987;BO;400;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1987;BO;360;7;UNITE;Verif CDT 
CHATEAU MARGAUX;1988;BO;495;3;UNITE;Verif CDT 
CHATEAU MARGAUX;1990;BO;1100;3;UNITE;Verif CDT 
CHATEAU MARGAUX;1990;BO;1045;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1990;BO;990;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1991;BO;390;4;UNITE;Verif CDT 
CHATEAU MARGAUX;1992;BO;346,5;1;UNITE;Verif CDT 
CHATEAU MARGAUX;1999;BO;497;1;UNITE;Verif CDT 
CHATEAU MARGAUX;2003;BO;580;3;UNITE;Verif CDT 
CHATEAU MARGAUX;2004;BO;430;2;UNITE;Verif CDT 
CHATEAU MARGAUX;2008;BO;440;1;UNITE;Verif CDT 
D'ISSAN;2001;BO;55;1;UNITE;Verif CDT 
DAUZAC;1985;BO;60;5;UNITE;Verif CDT 
DAUZAC;1988;BO;52;3;UNITE;Verif CDT 
DAUZAC;2003;BO;40;3;UNITE;Verif CDT 
DAUZAC;2005;BO;60;1;UNITE;Verif CDT 
DAUZAC;2006;BO;50;2;UNITE;Verif CDT 
DURFORT VIVENS;2010;BO;55;2;UNITE;Verif CDT 
DURFORT VIVENS;2010;BO;60;2;UNITE;Verif CDT 
DURFORT VIVENS;2015;BO;100;5;UNITE;Verif CDT 
GISCOURS;1990;MG;180;1;UNITE;Verif CDT 
GISCOURS;1994;BO;55;12;UNITE;Verif CDT 
GISCOURS;1996;BO;65;12;UNITE;Verif CDT 
GISCOURS;1996;BO;75;1;UNITE;Verif CDT 
GISCOURS;1996;BO;75;5;UNITE;Verif CDT 
GISCOURS;1999;BO;65;6;UNITE;Verif CDT 
GISCOURS;2002;BO;55;3;UNITE;Verif CDT 
GISCOURS;2002;BO;55;4;UNITE;Verif CDT 
GISCOURS;2009;BO;65;1;UNITE;Verif CDT 
HAUT TAYAC;2016;BO;25;1;UNITE;Verif CDT 
ISSAN;1989;BO;75;12;UNITE;Verif CDT 
KIRWAN;1982;BO;80;1;UNITE;Verif CDT 
KIRWAN;1990;BO;95;2;UNITE;Verif CDT 
KIRWAN;1995;BO;55;12;UNITE;Verif CDT 
KIRWAN;1996;BO;65;1;UNITE;Verif CDT 
KIRWAN;2004;BO;50;6;UNITE;Verif CDT 
KIRWAN;2015;MG;90;2;UNITE;Verif CDT 
KIRWAN;2016;MG;90;1;UNITE;Verif CDT 
KIRWAN;2017;MG;70;1;UNITE;Verif CDT 
LA TOUR DE MONS;1949;BO;270;1;UNITE;Verif CDT 
LABEGORCE;1967;BO;100;4;UNITE;Verif CDT 
LABEGORCE;2018;BO;28;12;UNITE;Verif CDT 
LASCOMBES;1974;BO;140;1;UNITE;Verif CDT 
LASCOMBES;1975;BO;144;1;UNITE;Verif CDT 
LASCOMBES;1979;BO;80;1;UNITE;Verif CDT 
LASCOMBES;1982;BO;90;1;UNITE;Verif CDT 
LASCOMBES;1986;BO;80;1;UNITE;Verif CDT 
LASCOMBES;1998;BO;55;2;UNITE;Verif CDT 
LASCOMBES;2012;BO;55;4;UNITE;Verif CDT 
LASCOMBES;2014;BO;65;1;UNITE;Verif CDT 
LASCOMBES;2016;BO;125;4;UNITE;Verif CDT 
LASCOMBES;2017;BO;55;4;UNITE;Verif CDT 
LE CLOITRE DE PRIEURE LICHINE;1999;BO;25;2;UNITE;Verif CDT 
